cell_type,Vehicle_S1,Vehicle_S2,Vehicle_S9,SMAC_S3,SMAC_S11,SMAC_S12,ICB_S5,ICB_S13,ICB_S14,SMAC+ICB_S7,SMAC+ICB_S8,SMAC+ICB_S15
T cell CD8+ naive_XCELL,6.31095372157671e-05,0.000962822005714717,0,0.00569608186633042,0,3.07086935510677e-21,3.32788307348317e-20,0,0.00102591550747677,0.000112196052347358,0,0
T cell CD8+_XCELL,3.50213611168559e-20,0.00107541019014222,1.66184563885029e-19,0,0,0,2.66771144970388e-20,0,0,0,2.57303093054343e-20,0
T cell CD8+ central memory_XCELL,0,0,3.71707709806838e-19,9.01161644392162e-19,3.96253662825694e-20,0,3.2810044879141e-19,0,4.14822763360316e-22,4.45060645871104e-19,0,1.01555483498049e-18
T cell CD8+ effector memory_XCELL,1.7029284010214e-20,0,0,2.15443939255176e-18,2.07758946022168e-18,1.53235891434929e-19,1.60235588984226e-20,1.03646673121762e-19,4.78268390560565e-20,0,0,2.2905041472589e-18
Class-switched memory B cell_XCELL,0.00380878783445944,0.00175469252531447,0.00356986420897969,0,0.00127205353586187,0.00279131415786112,0.00272854017752142,0.00222775267155333,0,4.76301468507157e-18,0,0
Common lymphoid progenitor_XCELL,0,0.000488957213687782,6.78739819179511e-20,0.0138526731991517,0.00136211028688114,3.38932484717597e-05,0.000228652366583759,0.00132093886501222,0.0020063771513645,0.00543121204553938,0,0.00586228549331537
Common myeloid progenitor_XCELL,0.000391220112090679,0,2.65733667512282e-05,0,0.000199535886572593,0.0013603629954855,0.000753382320503045,0.00107211940697236,0,0,1.24548412367372e-18,0
Myeloid dendritic cell_XCELL,0,2.42927795606816e-20,0,0.00348809420480549,0,0.00030503687187641,0.00880220692693034,0.00288421091581831,0.0040105360063724,0.0100062044079983,0.0184894109526613,0.00181674331701632
Endothelial cell_XCELL,2.96101545956664e-20,0.00214793321835664,1.15787271225682e-18,8.86908396133799e-21,0,2.74342842059164e-19,2.1881628494978e-20,3.05157574711114e-20,0.000990258897836624,8.83209965170709e-20,1.05254602939952e-19,0.00270974833194751
Eosinophil_XCELL,0.00366598784126696,0.000447136736599013,0.00262144465199813,6.94367331691235e-19,0,0.00159031834402653,1.55020564598608e-19,0,0.00032171484389632,1.36421763886012e-18,0,6.42103117629457e-21
Cancer associated fibroblast_XCELL,0,1.07914514976725e-18,0,1.54511344787387e-18,0,0,9.36934852047516e-19,2.48116647828702e-18,1.4149175123304e-18,2.04480569955788e-18,0,0
Granulocyte-monocyte progenitor_XCELL,0,2.76040142575428e-19,0,1.05821715372466e-18,4.92408994177163e-19,0,0,0,0,0,0,0
